ID,Name,Tags,Link
2158C,Annoying Game,"dp, games, greedy",https://codeforces.com/contest/2158/problem/C
1560C,Infinity Table,"implementation, math",https://codeforces.com/contest/1560/problem/C
1367C,Social Distance,"constructive algorithms, greedy, math",https://codeforces.com/contest/1367/problem/C
1462C,Unique Number,"brute force, greedy, math",https://codeforces.com/contest/1462/problem/C
2257B,Gigantomachy,math,https://codeforces.com/contest/2257/problem/B
2257A,Creating Abbreviations,"brute force, strings",https://codeforces.com/contest/2257/problem/A
1560D,Make a Power of Two,"greedy, math, strings",https://codeforces.com/contest/1560/problem/D
1690C,Restoring the Duration of Tasks,"data structures, greedy, implementation",https://codeforces.com/contest/1690/problem/C
1729C,Jumping on Tiles,"constructive algorithms, strings",https://codeforces.com/contest/1729/problem/C
1669D,Colorful Stamp,implementation,https://codeforces.com/contest/1669/problem/D
1729B,Decode String,"greedy, strings",https://codeforces.com/contest/1729/problem/B
1462B,Last Year's Substring,"dp, implementation, strings",https://codeforces.com/contest/1462/problem/B
1520B,Ordinary Numbers,"brute force, math, number theory",https://codeforces.com/contest/1520/problem/B
2253B,Hypercarp and the Control Panel,"brute force, data structures, two pointers",https://codeforces.com/contest/2253/problem/B
2253A,The Best Card,"greedy, math, number theory",https://codeforces.com/contest/2253/problem/A
2225C,Red-Black Pairs,"dp, greedy",https://codeforces.com/contest/2225/problem/C
2254B,Evanescent,"implementation, strings, two pointers",https://codeforces.com/contest/2254/problem/B
2254D,Silhouette,"constructive algorithms, math, sortings",https://codeforces.com/contest/2254/problem/D
2254A,Riptide,"implementation, sortings",https://codeforces.com/contest/2254/problem/A
1355B,Young Explorers,"dp, greedy, sortings",https://codeforces.com/contest/1355/problem/B
1360B,Honest Coach,"greedy, sortings",https://codeforces.com/contest/1360/problem/B
4C,Registration System,"data structures, hashing, implementation",https://codeforces.com/contest/4/problem/C
466A,Cheap Travel,implementation,https://codeforces.com/contest/466/problem/A
706B,Interesting drink,"binary search, dp, implementation",https://codeforces.com/contest/706/problem/B
165B,Burning Midnight Oil,"binary search, implementation",https://codeforces.com/contest/165/problem/B
1352B,Same Parity Summands,"constructive algorithms, math",https://codeforces.com/contest/1352/problem/B
1352C,K-th Not Divisible by n,"binary search, math",https://codeforces.com/contest/1352/problem/C
158B,Taxi,"*special, greedy, implementation",https://codeforces.com/contest/158/problem/B
2237C,Duck Surplus,"binary search, greedy",https://codeforces.com/contest/2237/problem/C
2242B,Predominant Frequency Division,"data structures, greedy, implementation, math",https://codeforces.com/contest/2242/problem/B
1320A,Journey Planning,"data structures, dp, greedy, math, sortings",https://codeforces.com/contest/1320/problem/A
1759D,Make It Round,"brute force, number theory",https://codeforces.com/contest/1759/problem/D
1195C,Basketball Exercise,dp,https://codeforces.com/contest/1195/problem/C
455A,Boredom,dp,https://codeforces.com/contest/455/problem/A
1821B,Sort the Subarray,"brute force, greedy",https://codeforces.com/contest/1821/problem/B
1692G,2^Sort,"data structures, dp, sortings, two pointers",https://codeforces.com/contest/1692/problem/G
1365B,Trouble Sort,"constructive algorithms, implementation",https://codeforces.com/contest/1365/problem/B
2244B,Nikita and Books,"greedy, math, sortings",https://codeforces.com/contest/2244/problem/B
2244A,Iskander and Drawings,"dp, games, greedy, strings",https://codeforces.com/contest/2244/problem/A
1881D,Divide and Equalize,"math, number theory",https://codeforces.com/contest/1881/problem/D
1536B,Prinzessin der Verurteilung,"brute force, constructive algorithms, strings",https://codeforces.com/contest/1536/problem/B
1869B,2D Traveling,"geometry, math, shortest paths, sortings",https://codeforces.com/contest/1869/problem/B
1183D,Candy Box (easy version),"greedy, sortings",https://codeforces.com/contest/1183/problem/D
1144F,Graph Without Long Directed Paths,"dfs and similar, graphs",https://codeforces.com/contest/1144/problem/F
862B,Mahmoud and Ehab and the bipartiteness,"dfs and similar, graphs, trees",https://codeforces.com/contest/862/problem/B
665C,Simple Strings,"dp, greedy, strings",https://codeforces.com/contest/665/problem/C
2242A,Bigrams,"sortings, strings",https://codeforces.com/contest/2242/problem/A
1285B,Just Eat It!,"dp, greedy, implementation",https://codeforces.com/contest/1285/problem/B
1366B,Shuffle,"math, two pointers",https://codeforces.com/contest/1366/problem/B
1703F,Yet Another Problem About Pairs Satisfying an Inequality,"binary search, data structures, dp, greedy, sortings",https://codeforces.com/contest/1703/problem/F
